snapped_at,price,market_cap,total_volume
24-06-2021 00:00,33702.61779,6.32E+11,39798236962
25-06-2021 00:00,34675.44911,6.50E+11,31862051544
26-06-2021 00:00,31943.13647,5.99E+11,38635245431
27-06-2021 00:00,32023.9739,6.00E+11,36873109420
28-06-2021 00:00,34607.29327,6.49E+11,34335452117
29-06-2021 00:00,34556.84213,6.48E+11,32453802891
30-06-2021 00:00,35968.99367,6.74E+11,35121257876
01-07-2021 00:00,35171.4863,6.60E+11,31024153847
02-07-2021 00:00,33677.56624,6.30E+11,29129630236
03-07-2021 00:00,33950.78656,6.34E+11,25084046353
04-07-2021 00:00,34729.89078,6.50E+11,22986053605
05-07-2021 00:00,35394.21307,6.64E+11,22727930418
06-07-2021 00:00,33928.13422,6.36E+11,25894820185
07-07-2021 00:00,34149.98981,6.40E+11,26106856612
